,name,ins_id,ticker,isin,instrument_type,market,country,sector,branch
1029,SECITS Holding,1441,SECI,SE0009664436,Aktie,First North,Sverige,Informationsteknik,Säkerhet & Bevakning
1030,Rentunder,1442,RENT,SE0004548451,Aktie,NGM,Sverige,Industri,Industrimaskiner
1031,International Petroleum,1443,IPCO,CA46016U1084,Aktie,Large Cap,Sverige,Energi,Olja & Gas - Exploatering
1032,Mantex,1445,MANTEX,SE0009663339,Aktie,First North,Sverige,Industri,Mätning & Analys
1033,Annexin,1446,ANNX,SE0009664154,Aktie,First North,Sverige,Hälsovård,Biotech
1034,Athanase Innovation,1447,ATIN,SE0018014060,Aktie,First North,Sverige,Finans & Fastighet,Investmentbolag
1035,Bambuser,1450,BUSER,SE0009663834,Aktie,First North,Sverige,Informationsteknik,Internettjänster
1036,AcuCort,1451,ACUC,SE0009695927,Aktie,Spotlight,Sverige,Hälsovård,Läkemedel
1037,XMReality,1452,XMR,SE0009664188,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
1038,OurLiving,1453,OURLIV,SE0009606593,Aktie,Spotlight,Sverige,Informationsteknik,Säkerhet & Bevakning
1039,Integrum,1455,INTEG B,SE0009807266,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
1040,Bioservo Technologies,1457,BIOS,SE0009779085,Aktie,First North,Sverige,Hälsovård,Hälsovård & Hjälpmedel
1041,Medicover,1459,MCOV B,SE0009778848,Aktie,Large Cap,Sverige,Hälsovård,Sjukhus & Vårdhem
1042,Abelco Investment,1461,ABIG,SE0003617075,Aktie,NGM,Sverige,Finans & Fastighet,Investmentbolag
1043,TerraNet,1462,TERRNT B,SE0009806045,Aktie,First North,Sverige,Telekommunikation,Telekomtjänster
1044,Boozt,1463,BOOZT,SE0009888738,Aktie,Mid Cap,Sverige,Sällanköpsvaror,Kläder & Skor
1045,Zaplox,1465,ZAPLOX,SE0020354389,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
1046,TCECUR,1466,TCC A,SE0014965604,Aktie,NGM,Sverige,Informationsteknik,Biometri
1047,Ayima,1467,AYIMA B,SE0009888506,Aktie,First North,Sverige,Sällanköpsvaror,Marknadsföring
1048,Nexar Group,1468,NXAR,SE0018219826,Aktie,NGM,Sverige,Sällanköpsvaror,Media & Publicering
1049,Paxman,1469,PAX,SE0009806284,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
1050,Essity B,1470,ESSITY B,SE0009922164,Aktie,Large Cap,Sverige,Dagligvaror,Hygienprodukter
1051,Enersize,1471,ENERS,FI4000233317,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
1052,Preservia Pref,1472,PHYR PREF,SE0009973365,Pref,NGM,Sverige,Finans & Fastighet,Fastighetsbolag
1053,Bonesupport,1474,BONEX,SE0009858152,Aktie,Mid Cap,Sverige,Hälsovård,Biotech
1054,OXE Marine,1475,OXE,SE0009888613,Aktie,First North,Sverige,Sällanköpsvaror,Bil & Motor
1055,Alligo,1477,ALLIGO B,SE0009922305,Aktie,Mid Cap,Sverige,Industri,Industrikomponenter
1056,Agtira,1478,AGTIRA B,SE0008588354,Aktie,First North,Sverige,Dagligvaror,Jordbruk
1057,Nitro Games,1479,NITRO,FI4000242961,Aktie,First North,Sverige,Sällanköpsvaror,Gaming & Spel
1058,OmniCar,1481,OMNI,SE0009997331,Aktie,Spotlight,Sverige,Informationsteknik,Affärs- & IT-System
1059,Netmore,1482,NETM B,SE0009921976,Aktie,First North,Sverige,Telekommunikation,Telekomtjänster
1060,NextCell Pharma,1483,NXTCL,SE0009723125,Aktie,First North,Sverige,Hälsovård,Biotech
1061,Promore Pharma,1485,PROMO,SE0009947740,Aktie,First North,Sverige,Hälsovård,Biotech
1062,Realfiction,1486,REALFI,SE0009920994,Aktie,First North,Sverige,Sällanköpsvaror,Marknadsföring
1063,Sedana Medical,1487,SEDANA,SE0015988373,Aktie,Mid Cap,Sverige,Hälsovård,Medicinsk Utrustning
1064,Surgical Science,1489,SUS,SE0014428512,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
1065,Trianon,1490,TRIAN B,SE0018013658,Aktie,Mid Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1066,News55,1491,N55,SE0009889934,Aktie,NGM,Sverige,Sällanköpsvaror,Media & Publicering
1067,Seamless Distribution Systems,1492,SDS,SE0009994445,Aktie,First North,Sverige,Informationsteknik,Betalning & E-handel
1068,Rovio,1515,ROVIO,FI4000266804,Aktie,Mid Cap,Finland,Sällanköpsvaror,Gaming & Spel
1069,Balco Group,1517,BALCO,SE0010323998,Aktie,Small Cap,Sverige,Industri,Byggmaterial
1070,Enrad,1518,ENRAD,SE0009994858,Aktie,Spotlight,Sverige,Industri,Installation & VVS
1071,Quartiers Properties,1520,QUART,SE0009697204,Aktie,First North,Sverige,Finans & Fastighet,Fastighetsbolag
1072,Obducat Pref,1521,OBDU PREF B,SE0009357536,Pref,NGM,Sverige,Informationsteknik,Elektronik & Tillverkning
1073,Inhalation Sciences,1522,ISAB,SE0009983893,Aktie,Spotlight,Sverige,Hälsovård,Medicinsk Utrustning
1074,SenzaGen,1523,SENZA,SE0010219626,Aktie,First North,Sverige,Hälsovård,Biotech
1075,Xspray Pharma,1524,XSPRAY,SE0009973563,Aktie,Small Cap,Sverige,Hälsovård,Biotech
